review,expected,but got
"Summer Holiday is the forgotten musical version of Eugene O'Neill's Ah Wilderness and deservedly so with the Broadway musical adaptation of Take Me Along. With the exception of the Stanley Steamer song, none of the other Harry Warren-Ralph Blane songs are worth remembering and even that one is questionable. <br /><br />It was right after the release of this film that MGM let Mickey Rooney go and I don't think it was a coincidence. The film was made in 1946 and released in 1948, so Mickey was 26 playing an Andy Hardy like teenager. He was just way too old for the part of the 17 year old who was affecting radical ideas in a spirit of youthful rebellion.<br /><br />Rooney made four films for MGM from 1946 to 1948, this one, Killer McCoy a remake of Robert Taylor's A Crowd Roars, Love Laughs at Andy Hardy and Words and Music. In all of them Rooney was playing an adult part. Even in the Andy Hardy film, Mickey played an adult Andy Hardy returned from World War II. Why he was in this Louis B. Mayer only knows. <br /><br />Rooney's bad casting makes Summer Holiday all the worse because in the original Ah Wilderness the emphasis is on the father's character played here by Walter Huston. And in the Broadway show Take Me Along which won a Tony Award for Jackie Gleason, the Great One played the inebriated brother-in-law Uncle Sid here played by Frank Morgan and that's the central character.<br /><br />Gloria DeHaven steps in for Judy Garland as Rooney's sweet and adorable girl friend and Marilyn Maxwell plays the show girl who gives Rooney an adult education. In the original play O'Neill has her as a prostitute, but this was the Hollywood of the Code so all Marilyn does is get young Rooney soused.<br /><br />A lot of really talented people had a hand in this one and they do their best, but Summer Holiday fades rather quickly into a chilly autumn.",0,1
"When Marlene Dietrich was labeled box office poison in 1938 one of a handful of actresses so named by the trades papers, it was films like The Garden Of Allah. How a film could be so breathtakingly beautiful to behold and be so insipidly dull is beyond me. Also how Marlene if she was trying to expand her range and not play a sexpot got stuck with such an old fashioned story is beyond me.<br /><br />The Garden Of Allah, one of the very first films in modern technicolor was a novel set at the turn of the last century by Robert Hitchens who then collaborated on a play adaption with Mary Anderson that ran for 241 performances in 1911-12. It then got two silent screen adaptions. The story is about a monk who runs away from the monastery out in French Tunisia to see some of what he's missed in the world. He runs into a similarly sheltered woman who was unmarried and spent her prime years caring for a sick parent. She's traveling now in the desert and the two meet on a train.<br /><br />The woman is of course Marlene and the runaway monk is Charles Boyer. I'm not sure what was in David O. Selznick's mind in filming this story. Someone like Ingrid Bergman might have made it palatable for the audience. But you can bet that the movie-going public of 1936 when they plunked their money down for a ticket they expected to see Marlene as a modern day Salome rather than a saint with that title. The public still remembered Rudolph Valentino and you can bet that it was some desert romance and seduction that they were expecting.<br /><br />As for the monks you have to remember that they are self supporting in their monasteries and this particular one bottles a special wine of which Boyer happens to be the one with the secret. The monastery will have to rethink it's economics if Boyer leaves. The monks are a sincerely pious group, but from the head man Charles Waldron on down they've a right to be a little concerned with some self interest.<br /><br />Anyway a whole lot of religious platitudes get said here by a pair of leads that really are not suited for the parts. Most especially Marlene Dietrich. I would watch this film with an eye for the special color desert cinematography and forget the plot.",0,1
"I was hoping this would be of the calibre of Das Boot and echo the stark realism created by acclaimed German Director Leni RiefenStahl in her documentaries, sadly I was monumentally disappointed. The story line is implausible and defies credulity. An RAF airman is shot down and somehow finds his way to a hospital in Dresden. Anna a nurse whose father runs the hospital and is about to become engaged to a doctor she works with falls in love with the airman and they make love. The next evening at a lavish engagement party the airman turns up disguised as a German officer and dances with Anna. Although well directed and acted, to me it is soap opera of the lowest order.",0,1
"Mr. Accident is a deliberate series of non-stop disasters and near death experiences reminiscent of Saturday Morning's Warner Brothers Cartoons. Like the coyote who falls off the cliff 5 times per episode, the ""leading man"" (more like an over grown klutzy child) always manages to postpone his meeting with the Grimm Reaper.<br /><br />This Australian ""surprise"" is offensively unfunny, and at times even depressing. The 2 (out of ten) are is for the visual stunts (some never attempted by anyone since Daffy Duck) and the use of vivid colors (like in those high class national laundry detergent commercials).<br /><br />There may be an age bracket where this ""comedy"" finds a following. I have definitely passed that age long ago. Calling all preteens: Here's a ""ha-ha"" for ya!",0,1
"CRYSTAL VOYAGER is a strange documentary about an eccentric surfer living in Australia. An American by birth George Greenough has surfed and photographed himself, friends and recently, dolphins, in Australia for 35 years, all using various re invented cameras which he either straps on his back, board or boat. In the mid 70s he teamed up with Surf Mag editor and budding film maker David Elfick to create this visually interesting tale about this life and photography. The 75 minute feature CRYSTAL VOYAGER is the result. Even in the 70s audiences were a bit puzzled by this film, neither surf-ing movie nor surf movie, because George swims about on a children's zippy board, not a real surfboard.... it offset the tedious droning of George (occasionally so dry or droll that it was actually funny.. like almost setting himself on fire or falling over something) with a spectacular 'you are there' power glide through a wave that ran for 23 minutes all set to Pink Floyd music. In 1974 when the Sydney Opera house opened, it also contained a cinema. Crystal Voyager was booked in there as an arty-sporty OZ pic and by default became a hit: as the 'opera house tickets' cost far more than a movie ticket, audiences flocked to see this film as an excuse to 'have been to the Sydney Opera House'...so the film did record business as a low budget attraction to locals and tourists who wanted to tell neighbors that they had seen a show 'there'. This created this myth that the film was a huge crowd puller and the reputation spread. As a result it was teamed with the fantasy cartoon FANTASTIC PLANET and had a trippy run through the UK and Europe as a double feature. I ran it at a coastal cinema in the 70s and the crowd was rather nonplussed about it all. Recently George has re emerged Lord Of The Flies style with another well photographed sea adventure called DOLPHIN GLIDE that offers viewers a dive and swim with the wild dolphins of Byron Bay. It is an eccentric 20 min short with an even more eccentric 20 min 'how George did it' short. Each were met with a collective yawn by both the media and the pubic in January 2005.... all of which makes CRYSTAL VOYAGER a 'you had to have been there' fluke all those years ago. However at a special Oz Surf night at an outdoor cinema last year 2000 people turned up....but then 2000 turn up every night to see anything there during this summer season of films.....so the damned thing fluked another box office binge. How many actually enjoyed it is very much open to debate. Again they were more than likely just plain puzzled by this mad film with an astonishing reputation. Elfick however, since 1975, has gone onto a stellar career as a major producer and director of many lauded Australian and international films. Look up NO WORRIES or STARSTRUCK or UNDERCOVER or RABBIT PROOF FENCE or LOVE IN LIMBO for clear and present applause at his achievements. George, however, is still floating around out there somewhere droning away and looking for something else to film, or drop a camera on.",0,1
"I'm sure that the folks who made this movie think they're doing something wonderfully politically correct, because they manage to criticize U.S. wars in Afghanistan and particularly Iraq by suggesting that the U.S. does war well, but doesn't clean up afterward, thus sowing the seeds for future trouble. Furthermore, they do this without making Islamists the enemy AND without making Republicans the enemy, since it's the Republicans that are in office and are doing this supposedly great thing, bringing down the USSR by covertly supplying a war in Afghanistan.<br /><br />But seriously now . . . do we really want a movie that repeatedly says ""let's go kill some Russians!"" like that's the greatest thing a red-blooded American can do? And are we supposed to find this congressman adorable because he surrounds himself with women with big hair and revealing clothes? Even his supposedly smart assistant, who is always dressed professionally, keeps looking at Charlie like he's just the most wonderful, handsomest, greatest guy around. As if she's Nancy Reagan to his Ronnie. Julia Roberts does a bang-up job in her role, but basically women are really demeaned in this movie, and it was really annoying.",0,1
"The movie is nice Well pictured, but no originality...<br /><br />this movie is directly copied from ""The Hitch"" where Salman plays like a Date Dr. like Will Smith, and Govinda like some fat jerk, who is desperate to get in love with her boss by the end the movie comes to an old Indian Flimi style, the bride's father doesn't like the bride's lover and gets some other groom, and Govinda the bride's lover comes in the end and saves her from the new groom and a fancy dance and stuff.<br /><br />the comedy was real good, no doubt when the hitch meets Hindi would be more funnier....<br /><br />Ultimately worth a watch but when it comes on TV after few months...",0,1
"Fear and Desire is of interest mainly to Kubrick obsessives, who can plumb this pretentious clap trap for signs of his still-to-come greatness. Kubrick was right in seeking to ensure that the film was not screened or available on legitimate video. He considered it embarrassing and amateurish, and he was correct in his evaluation. This is a weak and tedious film--at 68 minutes it still seems longer than ""Barry Lyndon""!--it nevertheless is of historical interest, and has its genuine absorbing moments. It's a difficult film to find (only ""unofficial"" copies are in circulation), though perhaps this may change if Kubrick's estate relents and has it released on video. Recommended only for Kubrick enthusiasts.",0,1
"Of the ten actors who portrayed Philo Vance in the series, Edmund Lowe seemed the most personable, but in this script the audience is way ahead of the famed detective. After all, when the jockey, Douglas Walton, stares blankly in space, obviously hypnotized, and says something like ""I must ride and be killed,"" I felt it was dumb that no one picked up on it after he does get killed. The police thought it was a suicide because he said he would do it! After hated horse owner Gene Lockhart gets shot and killed, Frieda Inescort does the same thing, saying she's going out to be killed, and then fatally jumps off a bus. I laughed when Lowe finally yells ""I got it,"" as though it were a revelation. The guilty party, however, was cleverly concealed and there was considerable suspense generated when that party starts to hypnotize Lowe to get him to jump off a roof.",0,1
"The original Body and Soul (1947) is a masterpiece. John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the greatest cinematographers to ever grace the screen..James Wong Howe. This remake is abominable. In spite of the presence of Rod Steiger, Joe Mantegna and Jennifer Beals there is nothing of value here and it is a shame this product bears the same title as the brilliant original. Only the main character's name, Charlie Davis, is the same in both films. I don't think there are any redeeming qualities in this remake. I am amazed that Rod Steiger participated. This may be the only bad film he ever made. Maybe he needed the paycheck.",0,1
