review,expected,but got
"Summer Holiday is the forgotten musical version of Eugene O'Neill's Ah Wilderness and deservedly so with the Broadway musical adaptation of Take Me Along. With the exception of the Stanley Steamer song, none of the other Harry Warren-Ralph Blane songs are worth remembering and even that one is questionable. <br /><br />It was right after the release of this film that MGM let Mickey Rooney go and I don't think it was a coincidence. The film was made in 1946 and released in 1948, so Mickey was 26 playing an Andy Hardy like teenager. He was just way too old for the part of the 17 year old who was affecting radical ideas in a spirit of youthful rebellion.<br /><br />Rooney made four films for MGM from 1946 to 1948, this one, Killer McCoy a remake of Robert Taylor's A Crowd Roars, Love Laughs at Andy Hardy and Words and Music. In all of them Rooney was playing an adult part. Even in the Andy Hardy film, Mickey played an adult Andy Hardy returned from World War II. Why he was in this Louis B. Mayer only knows. <br /><br />Rooney's bad casting makes Summer Holiday all the worse because in the original Ah Wilderness the emphasis is on the father's character played here by Walter Huston. And in the Broadway show Take Me Along which won a Tony Award for Jackie Gleason, the Great One played the inebriated brother-in-law Uncle Sid here played by Frank Morgan and that's the central character.<br /><br />Gloria DeHaven steps in for Judy Garland as Rooney's sweet and adorable girl friend and Marilyn Maxwell plays the show girl who gives Rooney an adult education. In the original play O'Neill has her as a prostitute, but this was the Hollywood of the Code so all Marilyn does is get young Rooney soused.<br /><br />A lot of really talented people had a hand in this one and they do their best, but Summer Holiday fades rather quickly into a chilly autumn.",0,1
"When Marlene Dietrich was labeled box office poison in 1938 one of a handful of actresses so named by the trades papers, it was films like The Garden Of Allah. How a film could be so breathtakingly beautiful to behold and be so insipidly dull is beyond me. Also how Marlene if she was trying to expand her range and not play a sexpot got stuck with such an old fashioned story is beyond me.<br /><br />The Garden Of Allah, one of the very first films in modern technicolor was a novel set at the turn of the last century by Robert Hitchens who then collaborated on a play adaption with Mary Anderson that ran for 241 performances in 1911-12. It then got two silent screen adaptions. The story is about a monk who runs away from the monastery out in French Tunisia to see some of what he's missed in the world. He runs into a similarly sheltered woman who was unmarried and spent her prime years caring for a sick parent. She's traveling now in the desert and the two meet on a train.<br /><br />The woman is of course Marlene and the runaway monk is Charles Boyer. I'm not sure what was in David O. Selznick's mind in filming this story. Someone like Ingrid Bergman might have made it palatable for the audience. But you can bet that the movie-going public of 1936 when they plunked their money down for a ticket they expected to see Marlene as a modern day Salome rather than a saint with that title. The public still remembered Rudolph Valentino and you can bet that it was some desert romance and seduction that they were expecting.<br /><br />As for the monks you have to remember that they are self supporting in their monasteries and this particular one bottles a special wine of which Boyer happens to be the one with the secret. The monastery will have to rethink it's economics if Boyer leaves. The monks are a sincerely pious group, but from the head man Charles Waldron on down they've a right to be a little concerned with some self interest.<br /><br />Anyway a whole lot of religious platitudes get said here by a pair of leads that really are not suited for the parts. Most especially Marlene Dietrich. I would watch this film with an eye for the special color desert cinematography and forget the plot.",0,1
"This movie was extremely poorly conceived from every angle except technological. I stood and watched everyone waddle out of the theater, their faces drained like their lives flashed before their eyes -- eyes wandering at their neighbor, wondering if it was just them. I mean, how could the movie really be bad. Nobody'll admit it, it's a classic case of The Emperor Wears No Clothes. ""Who am I to question a movie containing a guy who stops a jet liner?"" But the fact remains, every member of the audience is thinking what I'm writing right now. I actually plagiarized their faces.<br /><br />Obviously Lois is only aroused by power, she won't even have a cup of coffee with the Superman With Glasses who doesn't stop jet liners. It can't be the look in ""his"" eyes to the depths of his soul or anything like that. In the old Supermans, she had some level of connection with him, he wasn't priority number 1, obviously, but it strengthened her character that she was ""torn"". I bet Henry Kissinger would have even won this Lois over before Clark Kent.<br /><br />And now it's official, Kryptonite does to Superman what eating at McDonalds does to the avg. person.<br /><br />SUPERMAN ""ONE"" He loses his earth dad, then finds his real super dad, the story is captivating every step of the way. He's human, he relates to people and he feels love for people, he relates to highschool students, he relates to people who feel different. He relates. The Superman Returns superman seems to relate only to Superpeople and it seems he's just ""doing a job"" when he's saving people.<br /><br />There's something about Clark that Lois likes, she's really internally in love with him but can't admit it, and when he comes into the picture as Superman, it throws a kink in the on-the-rocks love. Without Superman, she would've fallen in love with Clark (at least that's what the movie points to, whether it was the intention or not). Superman Returns is a love story between a woman and SUPERMAN, Clark is like a pile of horse maneur to Lois. Literally.<br /><br />SUPERMAN TWO I just watched it again. As a kid, I ""thought"" I enjoyed the action, but now I know it was the STORY that held me then too, watching it over and over again. If I saw Superman Returns as a child, I would've hated it then too, I think.<br /><br />There is so much heart and soul and superpower going around in this movie, it's sick. Superman gives up his powers for love as a world plot is going on and meanwhile, MEANWHILE, Lex Luther's got something fantastic up his sleeve.<br /><br />SUPERMAN THREE Now there's a three-way love story between Superman and Lana and Clark, only humanity wins and Clark's inner nature beats Superman's power, because when his SUPERmoral nature is gone and he's SuperHUMAN (who does human things with his superpowers), she sees it's not the power of Superman that she's in love with, it's not SUPERpowerman, but SUPERMORTALman that she loves -- and who's really SUPER. And when she tells Clark she ""prefers"" him to Superman, he is elated, he has made a human connection again. He wants to be accepted for who he is, not just for his ability to bend steel. THIS IS THE KIND OF STUFF THAT'S MISSING FROM SUPERMAN RETURNS.<br /><br />Clark super-sneezes to help the kid get a strike - humanity again. Plus, it's an INERESTING use of superpowers. He's not just using straight brute strength.<br /><br />He crushes the coal into a diamond for his woman because she had to sell hers, love is the only thing that drives him to use his powers other than for saving.<br /><br />It seems there's nothing at stake in Superman Returns. Even in Superman Three, we see the damages caused by the nemesis' world domination plot.. we see suffering, we see how it effects Pryor and others and people in the middle of it.. there's no damage, esp. emotional from Lex's plot to sink the US. We see a glob of crystal thrown into space.. Superman had to get very creative in the first three Supermans in order to stop the plot against him, he couldn't just ""access"" his superpowers. In the first one, he had to stop two missiles going in different directions and then break his universal mandate and erase history to save Lois' life... (this was THIRTY YEARS AGO!!"") In the second one, he had to outsmart three guys that he was already more POWERFUL than, but combined with Lex's genius, and the villains' immoral tactics, Superman's overpowering wasn't enough, he had to work one against the other and outsmart them... In Superman III, again, his superpowers weren't enough to win.. He had to outsmart a computer that calculated everything it saw. He couldn't use straight aggression on the computer because it calculated it in advance, so he had to use a benign acid that would only become deadly to the computer after the computer responded to the aggression. And he found that acid earlier when he couldn't simply use his superpowers to BLOW out a fire because it was a chemical fire, so he had to use his superbrains -- he couldn't carry water, so he froze a lake and dropped it on the fire.. Now in Superman Returns, he simply lunges the island into outerspace, like a night temp for UPS. He doesn't need to figure anything out, he just uses his ""super strength"". And Lex Luther's brilliance was shown at the premeditation level of a junkie who just ran out of junk.<br /><br />To say nothing of the fact that he threw that island into outerspace after getting stabbed with a KNIFE of kyrptonite right in the bloodstream AND the island itself was dripping kryptonite spores in his face, but he just averted his eyes and nose like it wasn't Grey Poupon he was looking at.",0,1
"I was hoping this would be of the calibre of Das Boot and echo the stark realism created by acclaimed German Director Leni RiefenStahl in her documentaries, sadly I was monumentally disappointed. The story line is implausible and defies credulity. An RAF airman is shot down and somehow finds his way to a hospital in Dresden. Anna a nurse whose father runs the hospital and is about to become engaged to a doctor she works with falls in love with the airman and they make love. The next evening at a lavish engagement party the airman turns up disguised as a German officer and dances with Anna. Although well directed and acted, to me it is soap opera of the lowest order.",0,1
"I'm sure that the folks who made this movie think they're doing something wonderfully politically correct, because they manage to criticize U.S. wars in Afghanistan and particularly Iraq by suggesting that the U.S. does war well, but doesn't clean up afterward, thus sowing the seeds for future trouble. Furthermore, they do this without making Islamists the enemy AND without making Republicans the enemy, since it's the Republicans that are in office and are doing this supposedly great thing, bringing down the USSR by covertly supplying a war in Afghanistan.<br /><br />But seriously now . . . do we really want a movie that repeatedly says ""let's go kill some Russians!"" like that's the greatest thing a red-blooded American can do? And are we supposed to find this congressman adorable because he surrounds himself with women with big hair and revealing clothes? Even his supposedly smart assistant, who is always dressed professionally, keeps looking at Charlie like he's just the most wonderful, handsomest, greatest guy around. As if she's Nancy Reagan to his Ronnie. Julia Roberts does a bang-up job in her role, but basically women are really demeaned in this movie, and it was really annoying.",0,1
"When I was 16 I saw the documentary: ""A Funny Thing Happened on the Way to the Moon"". I actually liked, and believed in it for a couple of years. But then I grew up, and began to think, and when I had sought more information. This is: more info from reel sources, and non-biased sources. When I started at university, not so long ago, i asked an assistant-professor in astronomy about these conspiracy theories. What he said shocked me: He said that all those theories where lies. That baffled me, I did not believe it first, but then he presented evidence for his claims. He quickly debunked most of the theories about the subject: ""humans did not go to the moon"". The most outrages claim was that the Apollo-craft could not travel through the Van-Allen-radiation-Belt, without the crew perishing from radiation. The truth is that the Americans use a secret aluminum-anti-radiation-alloy. It is not that well-known. And the exact specifications are a secret. And why is it a secret: Well, why should they reveal it back then?? If they where in a space race with the Russians, then it would be VERY dumb to reveal that they had new technology that could shield crew against radiation.<br /><br />And then there is the biggest evidence of all: The Moon Stones. When the Apollo-missions DID go to the moon, they brought back many rocks from the moon, to give to geologists and similar scientists, who are documenting all things about the moon. These rocks and stones are IN FACT FROM THE MOON. Because: the internal basic elements, which all matter consist of, are also made of special isotopes, that are different from quarry to quarry, land to land, and especially planet from planet. The isotopes of these rocks and stones have been Proved, that they do not come from earth. The astronauts brought home HUNDREDS of Kilogram's of these rocks, all of them have been proved to have come from outside earth, and from the same planet. Ergo: The moon-landings where not fake. NASA did go to another planet: the moon, though it is not a planet, but a satellite to a planet, a moon (duuh). These rocks have been distributed to laboratories and universities all around the world. It has been proved: Humans did go to the moon - it is a fact, pronto.<br /><br />But I do not worry: most conspiracy-theorists are generally unemployed and uneducated, that is mostly why they do not know or lie about these facts. The fact remains: Humans did walk on the moon.",0,1
"Since this picture is classified a ""pure entertainment"" work and since there are already many comments on it, I'd like hereby to address something relevant to the abuse of humour. We can see that Marlon Wayans is playing the joker role in this film. Certainly as long as he has been involved in the casting job, he has always been acting as a little man-an actor can change his customary dress but can hardly change his physical appearance-and the latter one can be an advantage when necessary. However far away from what I expected, I saw an image very disguising, pretending to expose different aspects of the baby life by mistake of a forty-year- old criminal. And with a ridiculous happy ending. So what is the point? Many elements are mixed up, some principal ones are violence, sex and criminal activities, amongst which the story is badly composed and to some extent, lack common sense: where is Vanessa when the peace of her house is violated and her husband's life being pursued? In addition the diamond is even bigger than the world's No.1 Cullinan! But the most sickening facet is the continuous attempt to make up the little man as a superman by showing his physical weak points. And they call it humour. A diamond is precious, hard and fragile; it cannot be cut by any other material but only be conquered by the hot blood of a male goat. Hence it's no more a diamond but pieces of debris.",0,1
"Hollywood, the home of hype, glamor and the search for profits, is scarcely ruled by spiritual values, and so it comes as no surprise that its attempts at investigations of the spiritual life are thin and often silly (better to go farther afield--to the films of Bresson, Dreyer, Rossellini and Bergman, for probing depictions of the spirituality). ""Strange Cargo"" is no exception. This odd hybrid of adventure film, love story and religious parable trivializes the very insights it tries to communicate. That a figure of providence and salvation would work to match Verne (Clark Gable at his most cockily mannered and self-regarding) and Julie (Joan Crawford, snarling and spitting out every other word in an attempt to be the Queen of Tough Dames) seems ludicrous at best. Is this the Patron Saint of the Star System at work, matching warring egos before sending them off to further penal servitude on the M-G-M lot? BUT. . .there are good supporting performances here, and visually arresting moments: the shadowy prison barracks; the escaping boat by moonlight, or against a painterly cloudscape; Julie walking along the seafront as the wind whips up; Julie and Monsieur Pig (Peter Lorre) bargaining for Verne's freedom as the storm builds; an unusually ennobling gay prison romance between two convicts. . .Above all, there is Paul Lukas's dignified and detached performance as Hessler, a murderer who can appreciate Cambreau's virtues, yet turns his back on him. In the film's most arresting moment, Hessler, having left Cambreau, stands outside the cabin. We hear the wind through the jungle, see the shadows on his face, which conveys a moment of fear and self-doubt. Then he exits into the night. In this moment, Hessler achieves an ambiguity, depth and existential strength that none of the other characters manage to achieve. is the film's secret that its deepest sympathies are allied with Hessler?",0,1
"I've expected a comedy about the NVA, but this is a parody. It shows the national army of Eastern Germany in a light that is not appropriate, and definitely not true.<br /><br />One can make a comedy about everything, as long as the underlying facts are not changed. Even a comedy about the German KZ is possible, as Roberto Benigni with ""LIFE IS BEAUTIFUL"" has shown.<br /><br />The movie NVA would be an ""OK"" comedy, because the jokes in it are overall OK. Nothing special - not hilarious, but enough to live with it.<br /><br />The point is, that the movie makes a farce and a parody about the NVA. A death machine that was ready to attack WESTERN EUROPE along with it's friend the RED ARMY. An institution that used everything to get the utmost from it's soldiers. An army that marched into the CSPR in 1968, and was ready to march also in POLAND to destroy the SOLIDARNOSC. You can't make a movie without showing the tiniest bit of evil, or would you make a parody about a KZ,Guantanamo or 9/11??? Showing Osama bin Laden as a funny screwed guy? 90 minutes about a funny Osama in a Afghan Taliban camp, where he makes jokes and is training his soldiers would be comparable to what this movie is doing about the NVA!",0,1
"I consider myself to be a bit of a snob when it comes to everything and although the cinematic experience is more suited to explosions than high drama, I can be very stuck up about films, too.<br /><br />Not all art films, however, are better than King Kong. I quite possibly would give Kong two stars, double this film's haul.<br /><br />My guess is that people got so excited about this because it was almost identical in style to what you can see in a play. For the less discerning art-buff, a film that looks like a play is 'great art'.<br /><br />This film, however, was useless.<br /><br />There was hardly any story so it relied on high drama. The only drama in this film was whether the cat would drop off the roof or not. So, deep and meaningful dialogue, then? No. Great acting? Hardly.<br /><br />To be excessively fair: Some of the scenery was interesting, though: Communist flats, city vistas (Petersburg?) and the Soviet trams still in service.",0,1
